city,state,country,country_code,latitude,longitude,timezone,population,elevation_m
Wyoming,MI,USA,US,42.91336,-85.70531,America/Detroit,75275,196
Kure Beach,NC,USA,US,33.99684,-77.90721,America/New_York,2091,4
Salem,OR,USA,US,44.9429,-123.0351,America/Los_Angeles,164549,49
Madisonville,LA,USA,US,30.40436,-90.15702,America/Chicago,813,2
Raeford,NC,USA,US,34.981,-79.2242,America/New_York,4860,80
Runnemede,NJ,USA,US,39.85234,-75.06795,America/New_York,8381,35
Obando,Valle del Cauca,Colombia,CO,4.57583,-75.97389,America/Bogota,10970,194
Gaylord,MI,USA,US,45.02751,-84.67475,America/Detroit,3660,411
Sumter,SC,USA,US,33.92044,-80.34147,America/New_York,40816,52
Rygge,Viken,Norway,NO,59.37762,10.75034,Europe/Oslo,2567,194
St. Louis,MO,USA,US,38.62727,-90.19789,America/Chicago,315685,142
San Jose,CA,USA,US,37.33939,-121.89496,America/Los_Angeles,1026908,26
Daphne,AL,USA,US,30.60353,-87.9036,America/Chicago,24896,49
Mobile,AL,USA,US,30.69436,-88.04305,America/Chicago,194288,3
Milner,GA,USA,US,33.11679,-84.19659,America/New_York,601,258
Murrieta,CA,USA,US,33.55391,-117.21392,America/Los_Angeles,109830,334
Helena,MT,USA,US,46.59271,-112.03611,America/Denver,30581,1237
Nanaimo,BC,Canada,CA,49.16638,-123.94003,America/Vancouver,90504,194
Sandown,NH,USA,US,42.9287,-71.18701,America/New_York,5827,69
Upland,CA,USA,US,34.09751,-117.64839,America/Los_Angeles,76443,377
St. Johns,FL,USA,US,30.0815,-81.54774,America/New_York,40000,194
Fort Lauderdale,FL,USA,US,26.12231,-80.14338,America/New_York,178590,1
Slidell,LA,USA,US,30.27519,-89.78117,America/Chicago,27942,1
Norfolk,VA,USA,US,36.84681,-76.28522,America/New_York,246393,2
Long Beach,CA,USA,US,33.76696,-118.18923,America/Los_Angeles,474140,9
San Francisco,CA,USA,US,37.77493,-122.41942,America/Los_Angeles,864816,16
Wichita Falls,TX,USA,US,33.91371,-98.49339,America/Chicago,104710,289
Nazareth,PA,USA,US,40.74038,-75.30962,America/New_York,5681,150
Faribault,MN,USA,US,44.29496,-93.26883,America/Chicago,23650,303
Bethesda,MD,USA,US,38.98067,-77.10026,America/New_York,60858,97
Bel Air,MD,USA,US,39.57314,-78.84974,America/New_York,1258,212
Auburn,WA,USA,US,47.30732,-122.22845,America/Los_Angeles,77006,25
Philadelphia,PA,USA,US,39.95238,-75.16362,America/New_York,1576251,12
Seatac,WA,USA,US,47.44846,-122.29217,America/Los_Angeles,28215,80
Culver,OR,USA,US,44.52568,-121.2131,America/Los_Angeles,1442,802
Camas,WA,USA,US,45.58706,-122.39954,America/Los_Angeles,21846,22
Fairbanks,AK,USA,US,64.83778,-147.71639,America/Anchorage,32325,136
Absecon,NJ,USA,US,39.42845,-74.49571,America/New_York,8317,8
Honolulu,HI,USA,US,21.30694,-157.85833,Pacific/Honolulu,371657,5
Snellville,GA,USA,US,33.85733,-84.01991,America/New_York,19733,323
Putnam,CT,USA,US,41.9151,-71.90896,America/New_York,7214,92
Eagan,MN,USA,US,44.80413,-93.16689,America/Chicago,66286,292
Leander,TX,USA,US,30.57881,-97.85307,America/Chicago,37889,298
Naugatuck,CT,USA,US,41.48593,-73.05066,America/New_York,31538,63
Billings,MT,USA,US,45.78329,-108.50069,America/Denver,110263,952
Tustin,CA,USA,US,33.74585,-117.82617,America/Los_Angeles,80583,43
Canandaigua,NY,USA,US,42.87423,-77.28804,America/New_York,10431,240
Savannah,GA,USA,US,32.08354,-81.09983,America/New_York,147780,6
Boston,MA,USA,US,42.35843,-71.05977,America/New_York,675647,14
Olympia,WA,USA,US,47.03787,-122.9007,America/Los_Angeles,50302,29
Salem,NH,USA,US,42.78842,-71.20089,America/New_York,29549,40
Fredericksburg,VA,USA,US,38.30318,-77.46054,America/New_York,28118,17
Kingman,AZ,USA,US,35.18944,-114.05301,America/Phoenix,28912,1021
